date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:39:12	0/0	---M--	200	added ('OK')	text/plain	etag:%223ca1d76187ffd71:0%22	https://chiesitotalcare.com/robots.txt		(from )
11:39:12	13444/13444	---MCZ	200	added ('OK')	text/html	date:Mon,%2010%20Jun%202024%2006:09:12%20GMT	https://chiesitotalcare.com/	C:/My%20Web%20Sites/chiesi%20total%20care/chiesitotalcare.com/index.html	(from )
11:39:12	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Mon,%2010%20Jun%202024%2006:09:12%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/chiesi%20total%20care/www.googletagmanager.com/gtm.05445.delayed	(from https://chiesitotalcare.com/)
11:39:13	16374/16374	---M--	200	added ('OK')	image/png	etag:%229ba9a6681ffd71:0%22	https://chiesitotalcare.com/assets/images/favicon-32x32-pink.png	C:/My%20Web%20Sites/chiesi%20total%20care/chiesitotalcare.com/assets/images/favicon-32x32-pink.png	(from https://chiesitotalcare.com/)
11:39:13	16374/16374	---M--	200	added ('OK')	image/png	etag:%22127628d81ffd71:0%22	https://chiesitotalcare.com/assets/images/favicon-16x16-pink.png	C:/My%20Web%20Sites/chiesi%20total%20care/chiesitotalcare.com/assets/images/favicon-16x16-pink.png	(from https://chiesitotalcare.com/)
11:39:14	161409/161409	---M-Z	200	added ('OK')	text/css	etag:W/%2227681-LKxK/BIJg5IUESlr1Oj9ipS6I34%22	https://cdn.jsdelivr.net/npm/bootstrap@4.6.0/dist/css/bootstrap.min.css	C:/My%20Web%20Sites/chiesi%20total%20care/cdn.jsdelivr.net/npm/bootstrap@4.6.0/dist/css/bootstrap.min.css	(from https://chiesitotalcare.com/)
11:39:14	2937/2937	---M-Z	200	added ('OK')	text/css	etag:%225f6ed75d-b79%22	https://cdnjs.cloudflare.com/ajax/libs/simplebar/5.3.0/simplebar.min.css	C:/My%20Web%20Sites/chiesi%20total%20care/cdnjs.cloudflare.com/ajax/libs/simplebar/5.3.0/simplebar.min.css	(from https://chiesitotalcare.com/)
11:39:15	156228/156228	---MCZ	200	added ('OK')	text/css	etag:W/%22aa1272633e7e552395d147a499bad186%22	https://pro.fontawesome.com/releases/v5.10.0/css/all.css	C:/My%20Web%20Sites/chiesi%20total%20care/pro.fontawesome.com/releases/v5.10.0/css/all.css	(from https://chiesitotalcare.com/)
11:39:16	43074/43074	---MCZ	200	added ('OK')	text/css	etag:W/%2254d8eed3b632da1:0%22	https://chiesitotalcare.com/assets/css/style.min.css?v=638343733722530000	C:/My%20Web%20Sites/chiesi%20total%20care/chiesitotalcare.com/assets/css/style.minec93.css	(from https://chiesitotalcare.com/)
11:39:17	39473/39473	---MCZ	200	added ('OK')	text/css	etag:W/%22d3b1e9cdb632da1:0%22	https://chiesitotalcare.com/assets/css/sitestyles.min.css?v=638345523706500000	C:/My%20Web%20Sites/chiesi%20total%20care/chiesitotalcare.com/assets/css/sitestyles.min8858.css	(from https://chiesitotalcare.com/)
11:39:17	0/0	---M--	200	added ('OK')	text/css	etag:%227b24bdebe50d71:0%22	https://chiesitotalcare.com/assets/css/image.min.css?v=637535917255500000	C:/My%20Web%20Sites/chiesi%20total%20care/chiesitotalcare.com/assets/css/image.minb9e5.css	(from https://chiesitotalcare.com/)
11:39:18	35695/35695	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%224a73f139b732da1:0%22	https://chiesitotalcare.com/assets/images/logo-chiesi-total-care.svg	C:/My%20Web%20Sites/chiesi%20total%20care/chiesitotalcare.com/assets/images/logo-chiesi-total-care.svg	(from https://chiesitotalcare.com/)
11:39:19	45473/45473	---MCZ	200	added ('OK')	text/html	date:Mon,%2010%20Jun%202024%2006:09:18%20GMT	https://chiesitotalcare.com/ferriprox/healthcare-professionals/	C:/My%20Web%20Sites/chiesi%20total%20care/chiesitotalcare.com/ferriprox/healthcare-professionals/index.html	(from https://chiesitotalcare.com/)
11:39:19	539671/539671	---M--	200	added ('OK')	image/png	etag:%22fc57be714384d91:0%22	https://chiesitotalcare.com/assets/images/background-home-lesa-no-pills.png	C:/My%20Web%20Sites/chiesi%20total%20care/chiesitotalcare.com/assets/images/background-home-lesa-no-pills.png	(from https://chiesitotalcare.com/)
11:39:19	44865/44865	---MCZ	200	added ('OK')	text/html	date:Mon,%2010%20Jun%202024%2006:09:18%20GMT	https://chiesitotalcare.com/elfabrio/healthcare-professionals/	C:/My%20Web%20Sites/chiesi%20total%20care/chiesitotalcare.com/elfabrio/healthcare-professionals/index.html	(from https://chiesitotalcare.com/)
